id,amount,amount_with_draws,amount_deposits,daily_amount,montly_amount,montly_change_amount,coin_id,createdAt,updatedAt
1,0,0,0,0,0,0,2,1633572453,1633572453
2,0,0,0,0,0,0,6,1633572453,1633572453
3,0,0,0,0,0,0,2,1633572453,1633572453
4,0,0,0,0,0,108625000,1,1633572453,1633572453
5,0,0,0,0,0,0,2,1633572453,1633572453
6,179.7,0,0,0,0,0,1,1633572453,1633572453
7,0,0,0,0,0,91.48,6,1633572453,1633572453
8,0,0,0,0,0,0,4,1633572453,1633572453
9,0,0,0,0,0,0.61789936,3,1633572453,1633572453
10,0.02,0,0,0,0,0,1,1633572453,1633572453
11,0,0,0,0,0,0,2,1633572453,1633572453
12,0,0,0,0,0,0,2,1633572453,1633572453
13,0,0,0,0,0,0,5,1633572453,1633572453
14,0,0,0,0,0,0,5,1633572453,1633572453
15,0,0,0,0,0,0.00027323,2,1633572453,1633572453
16,0,0,0,0,0,34.91,6,1633572453,1633572453
17,0,0,0,0,0,0.082021,4,1633572453,1633572453
18,0,0,341699999.88909715,0,0,1030000,1,1633572453,1633572453
19,0,0,0,0,0,0,8,1633572453,1633572453
20,0.11090285,0.11090285,0,0,0,0.00337373,3,1633572453,1633572453
21,0,0,0,0,0,0,2,1633572453,1633572453
22,0,0,0,0,0,0,2,1633572453,1633572453
23,0,0,0,0,0,0,5,1633572453,1633572453
24,0,0,0,0,0,0,4,1633572453,1633572453
25,0,0,0,0,0,0.03224109,3,1633572453,1633572453
26,0,0,0,0,0,1200000,1,1633572453,1633572453
27,0,0,0,0,0,0,5,1633572453,1633572453
28,0,0,0,0,0,0.004,2,1633572453,1633572453
29,0,0,0,0,0,1200000,1,1633572453,1633572453
30,0,0,0,0,0,0.03619628,3,1633572453,1633572453
31,0.08494387,0,0,0,0,0,5,1633572453,1633572453
32,0,0,0,0,0,0,4,1633572453,1633572453
33,0,0,0,0,0,0,2,1633572453,1633572453
34,0,0,0,0,0,0,4,1633572453,1633572453
35,0,0,0,0,0,0,5,1633572453,1633572453
36,0,0,0,0,0,0,1,1633572453,1633572453
37,0,0,0,0,0,0,5,1633572453,1633572453
38,0,0,0,0,0,12000,1,1633572453,1633572453
39,9e-8,0,0,0,0,0,2,1633572453,1633572453
40,0,0,0,0,0,2215000,1,1633572453,1633572453
41,0,0,0,0,0,2.5e-7,3,1633572453,1633572453
42,0,0,0,0,0,0.0155074,4,1633572453,1633572453
43,0,0,0,0,0,1.01,6,1633572453,1633572453
44,0.00006093,0,0,0,0,0,2,1633572453,1633572453
45,0,0,0,0,0,0,5,1633572453,1633572453
46,0,0,0,0,0,0,5,1633572453,1633572453
47,0,0,0,0,0,0,5,1633572453,1633572453
48,0,0,0,0,0,0,3,1633572453,1633572453
49,0,0,0,0,0,0,2,1633572453,1633572453
50,0,0,0,0,0,0,5,1633572453,1633572453
51,0,0,0,0,0,0,5,1633572453,1633572453
52,0,0,0,0,0,0.00442009,3,1633572453,1633572453
53,0,0,0,7500,7500,19364.62,1,1633572453,1633572453
54,0,0,0,0,0,0,5,1633572453,1633572453
55,0,0,0,0,0,0.0000034,2,1633572453,1633572453
56,0,0,0,0,0,0.00036763,4,1633572453,1633572453
57,0,0,0,0,0,0,1,1633572453,1633572453
58,0,0,0,0.023938,0.023938,0,4,1633572453,1633572453
59,0,0,0,0,0,0,5,1633572453,1633572453
60,0,0,0,0,0,0.0650445,3,1633572453,1633572453
61,0,0,0,0,0,11.32,7,1633572453,1633572453
62,0,0,0,0,0,0,2,1633572453,1633572453
63,0,0,0,0,0,0,5,1633572453,1633572453
64,0,0,0,0,0,1000000,1,1633572453,1633572453
65,0,0,0,0,0,0,3,1633572453,1633572453
66,0,0,0,0,0,0.00163574,2,1633572453,1633572453
67,0,0,0,0,0,65175000,1,1633572453,1633572453
68,0,0,0,0,0,300,6,1633572453,1633572453
69,9.9999999e-9,0,0,0,0,0.97276265,3,1633572453,1633572453
70,0,0,0,0,0,0.8079409,4,1633572453,1633572453
71,0,0,0,0,0,9990000,1,1633572453,1633572453
72,0.25,0,0,0,0,0,5,1633572453,1633572453
73,0,0,0,0,0,0.00006213,2,1633572453,1633572453
74,0,0,0,0,0,0,6,1633572453,1633572453
75,0,0,0,0,0,0.00522803,2,1633572453,1633572453
76,0,0,0,0,0,0.30694888,4,1633572453,1633572453
77,0,0,0,0,0,679319390.75,1,1633572453,1633572453
78,0,0,0,0.11599614,0.11599614,0.8591477,3,1633572453,1633572453
79,0,0,0,0,0,849.55,6,1633572453,1633572453
80,0,0,0,0,0,0,5,1633572453,1633572453
81,0,0,0,0,0,88.97,7,1633572453,1633572453
82,0.031796,0,0.030734,0,0,0.00001,2,1633572453,1633572453
83,4.31482357,0,4.30586357,0,0,0,4,1633572453,1633572453
84,152,0,150,0,0,0,5,1633572453,1633572453
85,735.04,200000000,0,0,0,0,1,1633572453,1633572453
86,1248.02,0,0,0,0,0,6,1633572453,1633572453
87,0,0,0,0,0,0,3,1633572453,1633572453
88,0,0,0,0,0,0,8,1633572453,1633572453
89,0,0,0,0,0,0,3,1633572453,1633572453
90,0,0,0,0,0,0,4,1633572453,1633572453
91,0,0,0,0.00588398,0.00588398,0,2,1633572453,1633572453
92,0,0,0,0,0,0,5,1633572453,1633572453
