bank_id,coin_id,account_number,fiscal_number,alias,owner,value,createdAt,updatedAt
3,1,0102-0759-22-0000040332,J-41114562-9,Cuenta Veinte Banco de Venezuela,"Inversiones Financieras 1444, C.A.",BDV,2021-10-06 22:07:39,2021-10-06 22:07:39
3,6,0102-0759-21-0000041658,J-41114562-9,Cuenta Veinte Banco de Venezuela,"Inversiones Financieras 1444, C.A.",BDV_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
191,1,0191-0154-17-2100204784,J-41114562-9,Cuenta Banco Nacional de Credito,"Inversiones Financieras 1444, C.A.",BNC,2021-10-06 22:07:39,2021-10-06 22:07:39
191,6,01910001482301019375,J-41114562-9,Cuenta Banco Nacional de Credito,"Inversiones Financieras 1444, C.A.",BNC_USD_CASH,2021-10-06 22:07:39,2021-10-06 22:07:39
191,6,01910001442301019380,J-41114562-LATIN AMERICAN MONEY SPA9,Cuenta Banco Nacional de Credito,"Inversiones Financieras 1444, C.A.",BNC_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
191,7,0191-0001-4124-0100-3719,J-41114562-9,Cuenta Banco Nacional de Credito,"Inversiones Financieras 1444, C.A.",BNC_EUR,2021-10-06 22:07:39,2021-10-06 22:07:39
151,1,0151-0178-40-1000816072,J-41114562-9,Cuenta Banco Fondo Común,"Inversiones Financieras 1444, C.A.",BFC,2021-10-06 22:07:39,2021-10-06 22:07:39
151,6,0151-0100-85-1001245305,J-41114562-9,Cuenta Banco Fondo Común,"Inversiones Financieras 1444, C.A.",BFC_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
151,7,0151-0100-87-1001245321,J-41114562-9,Cuenta Banco Fondo Común,"Inversiones Financieras 1444, C.A.",BFC_EUR,2021-10-06 22:07:39,2021-10-06 22:07:39
174,1,0174-0131-91-1314419910,J-41114562-9,Cuenta Banplus,"Inversiones Financieras 1444, C.A.",BANPLUS,2021-10-06 22:07:39,2021-10-06 22:07:39
174,6,0174-0720-1772-0434-6162,J-41114562-9,Cuenta Banplus,"Inversiones Financieras 1444, C.A.",BANPLUS_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
170,8,0170044220000000837134,30-71634281-2,Cuenta Banco Francés (BBVA),Bonairex SAS,BBVA_ARS,2021-10-06 22:07:39,2021-10-06 22:07:39
170,6,0170044226000006016034,30-71634281-2,Cuenta Banco Francés (BBVA),Bonairex SAS,BBVA_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
122,9,23571685051,76685656-K,Cuenta Banco Estado,LATIN AMERICAN MONEY SPA,BANCO_ESTADO,2021-10-06 22:07:39,2021-10-06 22:07:39
1,1,0172-0110-76-1104341860,J-41114562-9,Cuenta Banca Amiga,"INVERSIONES FINANCIERAS 1444, C.A.",Bancamiga,2021-10-06 22:07:39,2021-10-06 22:07:39
1,6,0172-0110-71-1104367287,J-41114562-9,Cuenta Banca Amiga,"INVERSIONES FINANCIERAS 1444, C.A.",Bancamiga_USD_CASH,2021-10-06 22:07:39,2021-10-06 22:07:39
1,6,0172-0110-77-1104323611,J-41114562-9,Cuenta Banca Amiga,"INVERSIONES FINANCIERAS 1444, C.A.",Bancamiga_USD,2021-10-06 22:07:39,2021-10-06 22:07:39
1,7,0172-0110-70-1104359367,J-41114562-9,Cuenta Banca Amiga,"INVERSIONES FINANCIERAS 1444, C.A.",Bancamiga_EUR,2021-10-06 22:07:39,2021-10-06 22:07:39
