id,name,code,active,action_id,content_type_id,createdAt,updatedAt
1,can create coin name,create_coin_name_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
2,can read coin name,read_coin_name_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
3,can update coin name,update_coin_name_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
4,can delete coin name,delete_coin_name_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
5,can create coin prefix,create_coin_prefix_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
6,can read coin prefix,read_coin_prefix_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
7,can update coin prefix,update_coin_prefix_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
8,can delete coin prefix,delete_coin_prefix_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
9,can create coin code,create_coin_code_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
10,can read coin code,read_coin_code_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
11,can update coin code,update_coin_code_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
12,can delete coin code,delete_coin_code_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
13,can create coin image,create_coin_image_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
14,can read coin image,read_coin_image_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
15,can update coin image,update_coin_image_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
16,can delete coin image,delete_coin_image_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
17,can create coin sell rate,create_coin_sell_rate_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
18,can read coin sell rate,read_coin_sell_rate_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
19,can update coin sell rate,update_coin_sell_rate_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
20,can delete coin sell rate,delete_coin_sell_rate_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
21,can create coin buy rate,create_coin_buy_rate_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
22,can read coin buy rate,read_coin_buy_rate_ves,true,r,1,2021-10-06 22:07:33,2021-10-06 22:07:33
23,can update coin buy rate,update_coin_buy_rate_ves,true,u,1,2021-10-06 22:07:33,2021-10-06 22:07:33
24,can delete coin buy rate,delete_coin_buy_rate_ves,true,d,1,2021-10-06 22:07:33,2021-10-06 22:07:33
25,can create coin payment method,create_coin_payment_method_ves,true,c,1,2021-10-06 22:07:33,2021-10-06 22:07:33
