id,user_id,kyc_id,createdAt,updatedAt
1,1,0,2019-10-25T20:45:14.205Z,2019-10-25T20:45:14.205Z
2,2,0,2019-10-26T01:39:48.560Z,2019-10-26T01:39:48.560Z
3,3,0,2019-10-26T03:49:34.522Z,2019-10-26T03:49:34.522Z
4,4,4,2020-07-08T18:14:33.065Z,2020-07-08T18:14:33.065Z
5,5,0,2019-10-26T12:19:34.117Z,2019-10-26T12:19:34.117Z
6,6,6,2021-09-07T13:25:24.194Z,2021-09-07T13:25:24.194Z
7,7,0,2020-04-25T01:04:13.078Z,2020-04-25T01:04:13.078Z
8,8,0,2020-04-28T13:20:24.919Z,2020-04-28T13:20:24.919Z
9,9,0,2019-10-27T00:40:46.583Z,2019-10-27T00:40:46.583Z
10,10,0,2019-10-27T01:05:27.545Z,2019-10-27T01:05:27.545Z
11,11,11,2021-09-24T14:58:04.737Z,2021-09-24T14:58:04.737Z
12,12,0,2019-10-27T03:48:22.761Z,2019-10-27T03:48:22.761Z
13,13,0,2019-10-27T05:28:18.032Z,2019-10-27T05:28:18.032Z
14,14,14,2020-04-25T00:55:14.538Z,2020-04-25T00:55:14.538Z
15,15,0,2019-10-31T02:20:24.018Z,2019-10-31T02:20:24.018Z
16,16,0,2020-05-18T22:27:54.214Z,2020-05-18T22:27:54.214Z
17,17,0,2019-10-27T16:55:48.209Z,2019-10-27T16:55:48.209Z
18,18,0,2019-10-27T19:12:12.663Z,2019-10-27T19:12:12.663Z
19,19,0,2019-11-02T14:19:40.246Z,2019-11-02T14:19:40.246Z
20,20,0,2021-06-28T22:21:08.813Z,2021-06-28T22:21:08.813Z
21,21,0,2019-10-28T20:02:37.795Z,2019-10-28T20:02:37.795Z
22,22,0,2021-04-20T17:33:33.498Z,2021-04-20T17:33:33.498Z
23,23,0,2019-10-28T21:48:29.201Z,2019-10-28T21:48:29.201Z
24,24,0,2020-01-15T20:19:10.544Z,2020-01-15T20:19:10.544Z
25,25,0,2020-04-07T04:41:43.805Z,2020-04-07T04:41:43.805Z
26,26,0,2019-10-29T03:44:48.051Z,2019-10-29T03:44:48.051Z
27,27,0,2019-10-29T05:06:40.477Z,2019-10-29T05:06:40.477Z
28,28,0,2019-10-29T12:14:12.137Z,2019-10-29T12:14:12.137Z
29,29,0,2019-10-29T15:09:11.276Z,2019-10-29T15:09:11.276Z
30,30,0,2019-10-29T15:33:59.939Z,2019-10-29T15:33:59.939Z
31,31,0,2019-11-28T12:41:34.235Z,2019-11-28T12:41:34.235Z
32,32,0,2019-11-20T01:52:02.963Z,2019-11-20T01:52:02.963Z
33,33,0,2019-10-30T01:47:36.149Z,2019-10-30T01:47:36.149Z
34,34,34,2020-05-28T12:01:23.217Z,2020-05-28T12:01:23.217Z
35,35,0,2019-10-31T17:27:03.558Z,2019-10-31T17:27:03.558Z
